ERUID,ERNAME,NAICS,Concentration
5950,Cariboo,238,0.050950011
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,311,0.050774665
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,237,0.050614113
1330,Saint John-St. Stephen,238,0.050480252
2425,Chaudière-Appalaches,238,0.050471636
3550,Hamilton-Niagara Peninsula,238,0.050452007
1320,Moncton-Richibucto,238,0.050348221
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,238,0.050081011
5980,Northeast / Nord-est,238,0.050079517
6210,Nunavut,236,0.049995599
3510,Ottawa,238,0.049759288
4640,North Central / Centre nord,484,0.049412452
4620,South Central / Centre sud,238,0.048963252
5910,Vancouver Island and Coast / Île de Vancouver et la côte,238,0.048953762
6010,Yukon,481,0.048911684
4870,Athabasca-Grande Prairie-Peace River,484,0.048475536
3560,London,238,0.047550004
6210,Nunavut,481,0.047443007
4660,Interlake,484,0.047270732
4680,North / Nord,212,0.047167836
3515,Kingston-Pembroke,238,0.046859932
4730,Saskatoon-Biggar,238,0.046857525
1310,Campbellton-Miramichi,238,0.046798158
2430,Estrie,238,0.04675536
6110,Northwest Territories / Territoires du Nord-Ouest,213,0.046436958
5940,Kootenay,212,0.046092355
4610,Southeast / Sud-est,337,0.045602606
3560,London,336,0.045412985
4640,North Central / Centre nord,311,0.045106197
4820,Camrose-Drumheller,238,0.045017206
5980,Northeast / Nord-est,484,0.044919022
4840,Banff-Jasper-Rocky Mountain House,238,0.044619616
3570,Windsor-Sarnia,238,0.04454936
4710,Regina-Moose Mountain,238,0.044275501
6110,Northwest Territories / Territoires du Nord-Ouest,212,0.044088753
6110,Northwest Territories / Territoires du Nord-Ouest,237,0.04404083
6110,Northwest Territories / Territoires du Nord-Ouest,481,0.04365745
3590,Northeast / Nord-est,238,0.043644952
4630,Southwest / Sud-ouest,238,0.043037975
3570,Windsor-Sarnia,336,0.042870205
5960,North Coast / Côte-nord,238,0.041925024
4740,Yorkton-Melville,111,0.041540313
1350,Edmundston-Woodstock,311,0.041500095
4670,Parklands,111,0.041284404
4820,Camrose-Drumheller,213,0.040417164
2465,Abitibi-Témiscamingue,213,0.040416437
3570,Windsor-Sarnia,111,0.040380225
2420,Capitale-Nationale,238,0.04012712
3570,Windsor-Sarnia,333,0.04010995
5970,Nechako,115,0.039845315
1350,Edmundston-Woodstock,238,0.03983438
4840,Banff-Jasper-Rocky Mountain House,237,0.039610039
4630,Southwest / Sud-ouest,311,0.03958826
3530,Toronto,238,0.039450275
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,112,0.039098741
4850,Red Deer,237,0.03894445
1320,Moncton-Richibucto,311,0.038895278
4610,Southeast / Sud-est,236,0.038748643
2410,Gaspésie-Îles-de-la-Madeleine,114,0.038712879
4870,Athabasca-Grande Prairie-Peace River,237,0.03868985
4880,Wood Buffalo-Cold Lake,484,0.03801103
4750,Prince Albert,238,0.037920889
2480,Côte-Nord,331,0.037798609
2480,Côte-Nord,212,0.037685213
1110,Prince Edward Island / Île-du-Prince-Édouard,111,0.037003446
4760,Northern / Nord,481,0.036695765
3595,Northwest / Nord-ouest,238,0.036684764
1010,Avalon Peninsula,311,0.03632074
5940,Kootenay,238,0.035674802
4650,Winnipeg,238,0.035670405
1010,Avalon Peninsula,236,0.035581567
3540,Kitchener-Waterloo-Barrie,336,0.035016412
2425,Chaudière-Appalaches,321,0.034979693
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,483,0.034956925
4720,Swift Current-Moose Jaw,238,0.034645916
6010,Yukon,238,0.034463348
6110,Northwest Territories / Territoires du Nord-Ouest,238,0.034312551
2433,Centre-du-Québec,484,0.033975054
1230,Annapolis Valley,311,0.03378922
3520,Muskoka-Kawarthas,236,0.033544888
1330,Saint John-St. Stephen,311,0.033492223
1210,Cape Breton,238,0.033487146
4860,Edmonton,236,0.033402361
2490,Nord-du-Québec,321,0.03330976
2415,Bas-Saint-Laurent,238,0.033285247
2425,Chaudière-Appalaches,311,0.033260186
4620,South Central / Centre sud,336,0.03315541
2433,Centre-du-Québec,333,0.033120933
5970,Nechako,484,0.033077826
2450,Lanaudière,236,0.033033219
1350,Edmundston-Woodstock,321,0.032933562
1110,Prince Edward Island / Île-du-Prince-Édouard,238,0.032730717
1340,Fredericton-Oromocto,238,0.032511387
1220,North Shore / Côte-nord,238,0.032413257
5970,Nechako,237,0.032249154
4750,Prince Albert,111,0.031811867
5970,Nechako,238,0.031696706
4680,North / Nord,481,0.031619726
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,238,0.031347837
5950,Cariboo,115,0.031271206
1210,Cape Breton,114,0.030883322
1040,Notre Dame-Central Bonavista Bay,238,0.030847584
5950,Cariboo,113,0.030724572
3550,Hamilton-Niagara Peninsula,111,0.030715792
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,236,0.030585213
2490,Nord-du-Québec,237,0.030551627
4730,Saskatoon-Biggar,212,0.030196607
4620,South Central / Centre sud,484,0.030024636
2425,Chaudière-Appalaches,332,0.029968558
4830,Calgary,211,0.029870965
2480,Côte-Nord,238,0.029709707
4860,Edmonton,237,0.029705339
3530,Toronto,523,0.02954919
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,213,0.029100104
4810,Lethbridge-Medicine Hat,111,0.029048173
1220,North Shore / Côte-nord,326,0.029035864
2480,Côte-Nord,482,0.028915936
4810,Lethbridge-Medicine Hat,311,0.028859693
4820,Camrose-Drumheller,237,0.028776599
5960,North Coast / Côte-nord,331,0.028443029
5960,North Coast / Côte-nord,482,0.028443029
4820,Camrose-Drumheller,111,0.028407894
2475,Saguenay-Lac-Saint-Jean,484,0.028159549
2490,Nord-du-Québec,236,0.0281471
2435,Montérégie,311,0.027917547
5940,Kootenay,321,0.027914789
2430,Estrie,326,0.027912041
3595,Northwest / Nord-ouest,212,0.02786078
2465,Abitibi-Témiscamingue,321,0.027776073
1240,Southern / Sud,238,0.027769733
2433,Centre-du-Québec,112,0.027752169
5960,North Coast / Côte-nord,311,0.027646624
4820,Camrose-Drumheller,112,0.027336892
5930,Thompson-Okanagan,321,0.027283708
2460,Outaouais,236,0.027203413
4630,Southwest / Sud-ouest,111,0.027180415
2425,Chaudière-Appalaches,236,0.027176405
4740,Yorkton-Melville,522,0.02700361
2425,Chaudière-Appalaches,484,0.026906197
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,212,0.02689251
5930,Thompson-Okanagan,111,0.026830001
4670,Parklands,112,0.02675841
1320,Moncton-Richibucto,484,0.026675612
2410,Gaspésie-Îles-de-la-Madeleine,236,0.026594425
1310,Campbellton-Miramichi,236,0.026577378
5950,Cariboo,484,0.026445751
4820,Camrose-Drumheller,484,0.026423906
1210,Cape Breton,236,0.026301912
5950,Cariboo,236,0.026257257
4880,Wood Buffalo-Cold Lake,237,0.026252222
2415,Bas-Saint-Laurent,484,0.026177826
1310,Campbellton-Miramichi,114,0.026132678
2465,Abitibi-Témiscamingue,484,0.026098873
1240,Southern / Sud,336,0.025999936
4870,Athabasca-Grande Prairie-Peace River,321,0.025944197
2455,Laurentides,236,0.025934017
3580,Stratford-Bruce Peninsula,112,0.025878842
2425,Chaudière-Appalaches,337,0.025792611
2425,Chaudière-Appalaches,326,0.025792611
1230,Annapolis Valley,112,0.025744167
2475,Saguenay-Lac-Saint-Jean,236,0.025708601
2415,Bas-Saint-Laurent,321,0.025650048
4810,Lethbridge-Medicine Hat,484,0.02563335
4730,Saskatoon-Biggar,236,0.025555799
5910,Vancouver Island and Coast / Île de Vancouver et la côte,236,0.025528494
6210,Nunavut,238,0.025349881
6010,Yukon,236,0.025081311
1040,Notre Dame-Central Bonavista Bay,236,0.025050723
3580,Stratford-Bruce Peninsula,311,0.024959714
2445,Laval,236,0.0249556
4870,Athabasca-Grande Prairie-Peace River,113,0.024925192
5950,Cariboo,322,0.024881249
2433,Centre-du-Québec,311,0.024715293
3540,Kitchener-Waterloo-Barrie,333,0.024714714
6110,Northwest Territories / Territoires du Nord-Ouest,221,0.024680117
4710,Regina-Moose Mountain,213,0.024445472
2480,Côte-Nord,236,0.024417901
6110,Northwest Territories / Territoires du Nord-Ouest,236,0.024248814
1210,Cape Breton,311,0.024192485
1340,Fredericton-Oromocto,522,0.024187215
4830,Calgary,236,0.024123226
1220,North Shore / Côte-nord,311,0.024079114
2433,Centre-du-Québec,332,0.023996746
2415,Bas-Saint-Laurent,311,0.023943563
3540,Kitchener-Waterloo-Barrie,332,0.023706849
4660,Interlake,237,0.023681083
5940,Kootenay,236,0.023577685
5930,Thompson-Okanagan,236,0.023488513
2420,Capitale-Nationale,524,0.023407128
4720,Swift Current-Moose Jaw,484,0.023384038
2425,Chaudière-Appalaches,112,0.023377113
5970,Nechako,213,0.023340929
3580,Stratford-Bruce Peninsula,336,0.02325276
4840,Banff-Jasper-Rocky Mountain House,213,0.023206129
3590,Northeast / Nord-est,236,0.023195381
2455,Laurentides,336,0.023142148
3590,Northeast / Nord-est,213,0.023105775
4620,South Central / Centre sud,236,0.022993225
2430,Estrie,333,0.022803407
2475,Saguenay-Lac-Saint-Jean,113,0.022783276
4830,Calgary,237,0.022781413
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,236,0.022718475
1330,Saint John-St. Stephen,236,0.022614866
3595,Northwest / Nord-ouest,113,0.02258603
4810,Lethbridge-Medicine Hat,213,0.022451355
2410,Gaspésie-Îles-de-la-Madeleine,238,0.022375713
4670,Parklands,238,0.022362385
2430,Estrie,236,0.022336811
2450,Lanaudière,484,0.022328105
4850,Red Deer,236,0.022322959
4680,North / Nord,237,0.022144278
6010,Yukon,213,0.022141606
2435,Montérégie,484,0.022129282
4830,Calgary,213,0.022073745
1350,Edmundston-Woodstock,113,0.021939844
4850,Red Deer,484,0.021886781
4670,Parklands,522,0.021884557
4810,Lethbridge-Medicine Hat,112,0.021841565
4620,South Central / Centre sud,337,0.021761445
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,238,0.021703115
1320,Moncton-Richibucto,524,0.021691905
2440,Montréal,238,0.021301967
3560,London,111,0.021299848
2435,Montérégie,236,0.021277074
2475,Saguenay-Lac-Saint-Jean,321,0.021254727
3560,London,484,0.021175414
4640,North Central / Centre nord,236,0.021166338
5960,North Coast / Côte-nord,488,0.021161613
4710,Regina-Moose Mountain,522,0.021121196
3530,Toronto,522,0.021023073
2450,Lanaudière,311,0.021018327
4750,Prince Albert,484,0.020983164
2470,Mauricie,321,0.020976652
2433,Centre-du-Québec,322,0.020892082
3580,Stratford-Bruce Peninsula,236,0.020889287
2415,Bas-Saint-Laurent,112,0.020864853
1230,Annapolis Valley,236,0.020843999
4710,Regina-Moose Mountain,484,0.020832129
4870,Athabasca-Grande Prairie-Peace River,211,0.020752123
4750,Prince Albert,522,0.020737986
5980,Northeast / Nord-est,321,0.020674434
4610,Southeast / Sud-est,321,0.02059582
4840,Banff-Jasper-Rocky Mountain House,484,0.020431217
2420,Capitale-Nationale,236,0.020414043
2465,Abitibi-Témiscamingue,236,0.02033094
2435,Montérégie,111,0.020320801
2425,Chaudière-Appalaches,524,0.020314752
2470,Mauricie,337,0.020240112
1210,Cape Breton,221,0.020171391
1350,Edmundston-Woodstock,237,0.020131354
2425,Chaudière-Appalaches,336,0.020069108
3560,London,311,0.019866152
3540,Kitchener-Waterloo-Barrie,484,0.019824092
2430,Estrie,321,0.01980044
4810,Lethbridge-Medicine Hat,237,0.019701757
1310,Campbellton-Miramichi,321,0.019697604
5960,North Coast / Côte-nord,237,0.019682576
2450,Lanaudière,332,0.019656983
1250,Halifax,522,0.019638332
1220,North Shore / Côte-nord,111,0.019559724
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,522,0.01954937
4650,Winnipeg,236,0.019539455
4650,Winnipeg,523,0.019519639
4660,Interlake,112,0.019475176
2490,Nord-du-Québec,238,0.019448373
3595,Northwest / Nord-ouest,236,0.019429598
4870,Athabasca-Grande Prairie-Peace River,322,0.019409624
3580,Stratford-Bruce Peninsula,332,0.019373321
2433,Centre-du-Québec,236,0.019292299
1110,Prince Edward Island / Île-du-Prince-Édouard,236,0.019287744
2435,Montérégie,332,0.019277339
3590,Northeast / Nord-est,212,0.019175873
5960,North Coast / Côte-nord,236,0.019113715
3560,London,236,0.019108728
2433,Centre-du-Québec,321,0.01907538
2433,Centre-du-Québec,336,0.01907538
4860,Edmonton,213,0.019063167
4810,Lethbridge-Medicine Hat,236,0.019014358
3510,Ottawa,236,0.018979592
4620,South Central / Centre sud,332,0.018938616
4660,Interlake,236,0.01892658
3540,Kitchener-Waterloo-Barrie,236,0.018838257
3515,Kingston-Pembroke,236,0.018740559
3550,Hamilton-Niagara Peninsula,311,0.018700255
1230,Annapolis Valley,326,0.018686462
2450,Lanaudière,326,0.018584408
2433,Centre-du-Québec,111,0.018573753
2470,Mauricie,236,0.01853134
3560,London,332,0.018502789
4860,Edmonton,332,0.018489345
2480,Côte-Nord,311,0.018445721
1320,Moncton-Richibucto,236,0.01840138
4830,Calgary,523,0.018368135
3580,Stratford-Bruce Peninsula,111,0.018358699
4720,Swift Current-Moose Jaw,522,0.018300551
3550,Hamilton-Niagara Peninsula,236,0.018281633
4660,Interlake,522,0.018240834
4630,Southwest / Sud-ouest,236,0.018138823
2415,Bas-Saint-Laurent,236,0.018137997
3570,Windsor-Sarnia,326,0.01810267
5970,Nechako,236,0.018092673
4610,Southeast / Sud-est,311,0.018084962
3595,Northwest / Nord-ouest,237,0.018082853
4820,Camrose-Drumheller,332,0.017908561
4620,South Central / Centre sud,323,0.017860809
5960,North Coast / Côte-nord,113,0.017805336
3550,Hamilton-Niagara Peninsula,332,0.017791473
3570,Windsor-Sarnia,332,0.017786391
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,114,0.017741029
4750,Prince Albert,112,0.017673259
1330,Saint John-St. Stephen,332,0.017651064
6210,Nunavut,212,0.017604084
4670,Parklands,237,0.017584098
2440,Montréal,522,0.017515805
2455,Laurentides,111,0.017499167
4660,Interlake,111,0.017463655
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,336,0.017395626
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,236,0.017395626
3590,Northeast / Nord-est,484,0.017390136
2455,Laurentides,311,0.017380679
1240,Southern / Sud,326,0.017376195
4760,Northern / Nord,236,0.017297123
5980,Northeast / Nord-est,211,0.017266561
2425,Chaudière-Appalaches,522,0.017244203
4860,Edmonton,484,0.01723583
1250,Halifax,236,0.017219535
2480,Côte-Nord,522,0.017160568
2430,Estrie,332,0.017132466
4870,Athabasca-Grande Prairie-Peace River,111,0.017096644
4740,Yorkton-Melville,236,0.017087846
1340,Fredericton-Oromocto,221,0.017074648
1340,Fredericton-Oromocto,236,0.017052211
2470,Mauricie,332,0.017014068
4750,Prince Albert,213,0.016978588
6010,Yukon,237,0.016950213
4840,Banff-Jasper-Rocky Mountain House,321,0.016944158
4730,Saskatoon-Biggar,522,0.016890868
6010,Yukon,212,0.016825119
1330,Saint John-St. Stephen,522,0.016808831
3570,Windsor-Sarnia,484,0.016808801
1240,Southern / Sud,112,0.01676481
2450,Lanaudière,111,0.016738343
6210,Nunavut,488,0.01672388
5910,Vancouver Island and Coast / Île de Vancouver et la côte,113,0.016718313
1110,Prince Edward Island / Île-du-Prince-Édouard,112,0.016707983
4650,Winnipeg,524,0.016634299
2415,Bas-Saint-Laurent,522,0.016607438
4640,North Central / Centre nord,112,0.016568134
2465,Abitibi-Témiscamingue,322,0.016567466
2440,Montréal,523,0.016559649
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,523,0.016497085
4740,Yorkton-Melville,311,0.016462094
1240,Southern / Sud,236,0.016443029
3580,Stratford-Bruce Peninsula,326,0.016436885
4710,Regina-Moose Mountain,236,0.016351583
3540,Kitchener-Waterloo-Barrie,311,0.016326857
4710,Regina-Moose Mountain,524,0.016322676
1330,Saint John-St. Stephen,322,0.016307075
4720,Swift Current-Moose Jaw,236,0.016306261
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,311,0.016254749
2470,Mauricie,522,0.016174413
5980,Northeast / Nord-est,236,0.016163059
1250,Halifax,523,0.016132516
1330,Saint John-St. Stephen,484,0.016109956
2475,Saguenay-Lac-Saint-Jean,115,0.016076111
2475,Saguenay-Lac-Saint-Jean,333,0.016076111
4640,North Central / Centre nord,237,0.016057222
1010,Avalon Peninsula,213,0.015968165
4750,Prince Albert,333,0.015916149
1010,Avalon Peninsula,237,0.015846657
4630,Southwest / Sud-ouest,522,0.015774099
4870,Athabasca-Grande Prairie-Peace River,236,0.01573797
3595,Northwest / Nord-ouest,322,0.015712021
4720,Swift Current-Moose Jaw,333,0.015680601
3515,Kingston-Pembroke,484,0.015668336
4880,Wood Buffalo-Cold Lake,236,0.015655622
3530,Toronto,236,0.015606042
1250,Halifax,524,0.015592605
2433,Centre-du-Québec,337,0.015577549
4750,Prince Albert,237,0.015548382
4740,Yorkton-Melville,112,0.015499398
4750,Prince Albert,236,0.015446224
4720,Swift Current-Moose Jaw,112,0.015445978
2410,Gaspésie-Îles-de-la-Madeleine,321,0.015427248
1350,Edmundston-Woodstock,236,0.015372168
2410,Gaspésie-Îles-de-la-Madeleine,522,0.015344528
4880,Wood Buffalo-Cold Lake,485,0.015336584
4650,Winnipeg,336,0.015306567
4610,Southeast / Sud-est,237,0.01530266
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,221,0.015292607
2490,Nord-du-Québec,115,0.015275813
4650,Winnipeg,522,0.015270897
1330,Saint John-St. Stephen,488,0.015267723
4610,Southeast / Sud-est,111,0.015234799
2480,Côte-Nord,321,0.015232839
2465,Abitibi-Témiscamingue,113,0.015197071
3590,Northeast / Nord-est,321,0.015181966
5940,Kootenay,113,0.015179862
1330,Saint John-St. Stephen,221,0.015160204
1220,North Shore / Côte-nord,236,0.015137526
1010,Avalon Peninsula,488,0.015077107
3590,Northeast / Nord-est,237,0.015053956
4760,Northern / Nord,238,0.015033948
2425,Chaudière-Appalaches,333,0.015025219
4730,Saskatoon-Biggar,111,0.015019912
1330,Saint John-St. Stephen,483,0.015016845
4670,Parklands,484,0.015003823
5980,Northeast / Nord-est,522,0.014994645
4720,Swift Current-Moose Jaw,213,0.01493763
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,481,0.014931364
4820,Camrose-Drumheller,236,0.014888686
1250,Halifax,237,0.014887123
2455,Laurentides,484,0.014870219
1310,Campbellton-Miramichi,237,0.01483206
3515,Kingston-Pembroke,336,0.014806407
5930,Thompson-Okanagan,237,0.014800645
3580,Stratford-Bruce Peninsula,484,0.014729931
3560,London,333,0.014639926
2480,Côte-Nord,114,0.014590263
4650,Winnipeg,484,0.014589196
1220,North Shore / Côte-nord,523,0.014554378
2425,Chaudière-Appalaches,237,0.014501179
5960,North Coast / Côte-nord,484,0.014449059
2410,Gaspésie-Îles-de-la-Madeleine,484,0.01443461
4670,Parklands,321,0.014430428
2440,Montréal,311,0.014393184
2415,Bas-Saint-Laurent,113,0.014390767
3570,Windsor-Sarnia,236,0.014359075
2430,Estrie,484,0.014356815
2475,Saguenay-Lac-Saint-Jean,237,0.014310374
4630,Southwest / Sud-ouest,332,0.014299624
5910,Vancouver Island and Coast / Île de Vancouver et la côte,523,0.014273896
2470,Mauricie,484,0.014259409
1310,Campbellton-Miramichi,484,0.014230407
3550,Hamilton-Niagara Peninsula,523,0.014188137
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,488,0.014174518
1240,Southern / Sud,321,0.014158381
4840,Banff-Jasper-Rocky Mountain House,113,0.014144688
2470,Mauricie,311,0.014126832
1040,Notre Dame-Central Bonavista Bay,237,0.014119498
4830,Calgary,484,0.014079847
2415,Bas-Saint-Laurent,111,0.014038915
4640,North Central / Centre nord,522,0.014013576
3570,Windsor-Sarnia,325,0.014002542
2435,Montérégie,522,0.013975649
1220,North Shore / Côte-nord,484,0.013922636
1340,Fredericton-Oromocto,321,0.013888577
2445,Laval,237,0.013873243
1330,Saint John-St. Stephen,523,0.013852054
4740,Yorkton-Melville,484,0.013814681
3570,Windsor-Sarnia,237,0.013784022
1310,Campbellton-Miramichi,113,0.013733389
4660,Interlake,331,0.013714913
3530,Toronto,524,0.013640575
1230,Annapolis Valley,484,0.013566884
4630,Southwest / Sud-ouest,484,0.013548477
1350,Edmundston-Woodstock,115,0.013516086
3520,Muskoka-Kawarthas,326,0.013503477
4620,South Central / Centre sud,112,0.013498255
1340,Fredericton-Oromocto,526,0.013462272
5930,Thompson-Okanagan,484,0.013415001
2460,Outaouais,522,0.013402735
2430,Estrie,322,0.013232198
3515,Kingston-Pembroke,237,0.013227626
4650,Winnipeg,311,0.013225794
6210,Nunavut,221,0.013203063
3530,Toronto,311,0.013195048
3550,Hamilton-Niagara Peninsula,333,0.013173373
1110,Prince Edward Island / Île-du-Prince-Édouard,237,0.013120503
2410,Gaspésie-Îles-de-la-Madeleine,237,0.013069733
5960,North Coast / Côte-nord,213,0.013026907
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,484,0.013023958
6010,Yukon,522,0.013009757
2430,Estrie,522,0.013004881
1330,Saint John-St. Stephen,524,0.0129919
3540,Kitchener-Waterloo-Barrie,326,0.012934263
3530,Toronto,484,0.012928844
4850,Red Deer,311,0.012882824
4730,Saskatoon-Biggar,484,0.012877196
4640,North Central / Centre nord,333,0.012845778
2475,Saguenay-Lac-Saint-Jean,331,0.012821358
1350,Edmundston-Woodstock,339,0.012754616
2420,Capitale-Nationale,488,0.012733512
1310,Campbellton-Miramichi,488,0.012713195
3590,Northeast / Nord-est,485,0.012711376
3510,Ottawa,522,0.012708006
3550,Hamilton-Niagara Peninsula,484,0.01270441
2460,Outaouais,321,0.012702354
4610,Southeast / Sud-est,522,0.012690011
3515,Kingston-Pembroke,485,0.012689987
2445,Laval,332,0.01266555
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,237,0.012664743
4680,North / Nord,238,0.01261648
5940,Kootenay,237,0.012586104
3580,Stratford-Bruce Peninsula,333,0.012557446
3540,Kitchener-Waterloo-Barrie,524,0.012545987
4850,Red Deer,333,0.012540113
2445,Laval,311,0.012533617
3580,Stratford-Bruce Peninsula,237,0.012533572
6110,Northwest Territories / Territoires du Nord-Ouest,488,0.012507787
2420,Capitale-Nationale,522,0.012475488
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,522,0.012445997
3560,London,524,0.012427166
4610,Southeast / Sud-est,332,0.012418567
4850,Red Deer,523,0.012415491
4630,Southwest / Sud-ouest,325,0.012407845
2445,Laval,325,0.012401685
3550,Hamilton-Niagara Peninsula,336,0.012391767
4610,Southeast / Sud-est,212,0.012384636
4740,Yorkton-Melville,237,0.012370638
4860,Edmonton,333,0.012357286
2435,Montérégie,326,0.012324672
1210,Cape Breton,237,0.012228082
2480,Côte-Nord,484,0.012208951
2475,Saguenay-Lac-Saint-Jean,311,0.012175678
2490,Nord-du-Québec,481,0.012164074
2435,Montérégie,336,0.012155918
3595,Northwest / Nord-ouest,484,0.012134731
1330,Saint John-St. Stephen,112,0.012131747
2430,Estrie,111,0.012131508
4620,South Central / Centre sud,321,0.012112503
5940,Kootenay,484,0.012097117
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,488,0.012081561
6110,Northwest Territories / Territoires du Nord-Ouest,484,0.012076484
1310,Campbellton-Miramichi,522,0.012033065
5930,Thompson-Okanagan,522,0.012029356
1330,Saint John-St. Stephen,237,0.012024228
4710,Regina-Moose Mountain,237,0.012015571
2433,Centre-du-Québec,326,0.012011931
5960,North Coast / Côte-nord,522,0.011946072
2440,Montréal,524,0.011928607
2415,Bas-Saint-Laurent,327,0.011910207
3530,Toronto,332,0.011907973
1350,Edmundston-Woodstock,322,0.011897963
4730,Saskatoon-Biggar,237,0.011884231
3540,Kitchener-Waterloo-Barrie,237,0.011874078
3520,Muskoka-Kawarthas,311,0.011860554
4620,South Central / Centre sud,115,0.011855882
3520,Muskoka-Kawarthas,485,0.011838048
2490,Nord-du-Québec,113,0.011810467
1310,Campbellton-Miramichi,212,0.011771476
1250,Halifax,488,0.011755644
2465,Abitibi-Témiscamingue,522,0.011740402
1230,Annapolis Valley,237,0.011738463
4630,Southwest / Sud-ouest,112,0.011712338
4740,Yorkton-Melville,333,0.011696751
5980,Northeast / Nord-est,113,0.011684139
2470,Mauricie,237,0.01168152
2445,Laval,336,0.01167098
4760,Northern / Nord,114,0.011639185
2433,Centre-du-Québec,325,0.011632321
2445,Laval,485,0.01158979
2460,Outaouais,485,0.011556277
2450,Lanaudière,333,0.011550798
1320,Moncton-Richibucto,321,0.011548783
2490,Nord-du-Québec,522,0.011527581
4680,North / Nord,482,0.011517119
5940,Kootenay,115,0.011501828
4620,South Central / Centre sud,522,0.011496613
2455,Laurentides,325,0.0114711
4670,Parklands,236,0.01146789
