Place,Year,GDP,GHG,Spread
4 Ontario,2008,102.67,93.3,40.3
4 Ontario,2009,99.48,81,40.3
4 Ontario,2010,102.42,84.8,40.3
4 Ontario,2011,104.89,84.3,40.3
4 Ontario,2012,106.27,82.5,40.3
4 Ontario,2013,107.75,82.3,40.3
4 Ontario,2014,110.45,81.1,40.3
4 Ontario,2015,113.16,80,40.3
4 Ontario,2016,115.54,78.6,40.3
4 Ontario,2017,118.92,76.5,40.3
4 Ontario,2018,121.5,81.2,40.3
5 Quebec,2005,100,100,26.6
5 Quebec,2006,101.21,97.9,26.6
5 Quebec,2007,103.68,99.9,26.6
5 Quebec,2008,105.73,97,26.6
5 Quebec,2009,104.89,94.8,26.6
5 Quebec,2010,106.99,91.9,26.6
5 Quebec,2011,108.99,94.7,26.6
5 Quebec,2012,110.19,93,26.6
5 Quebec,2013,111.66,93.3,26.6
5 Quebec,2014,113.44,91,26.6
5 Quebec,2015,114.45,91.3,26.6
5 Quebec,2016,116.28,91.2,26.6
5 Quebec,2017,119.53,93.4,26.6
5 Quebec,2018,122.5,95.9,26.6
6 New Brunswick,2005,100,100,41.7
6 New Brunswick,2006,102.06,98.2,41.7
6 New Brunswick,2007,103.02,98.6,41.7
6 New Brunswick,2008,103.81,93,41.7
6 New Brunswick,2009,102.31,91.2,41.7
6 New Brunswick,2010,104.34,91,41.7
6 New Brunswick,2011,104.62,91.5,41.7
6 New Brunswick,2012,103.52,83,41.7
6 New Brunswick,2013,103.24,73.8,41.7
6 New Brunswick,2014,103.36,68.1,41.7
6 New Brunswick,2015,104.03,69.4,41.7
6 New Brunswick,2016,104.87,72.5,41.7
6 New Brunswick,2017,107.17,67.8,41.7
6 New Brunswick,2018,108.1,66.4,41.7
7 Nova Scotia,2005,100,100,39.9
7 Nova Scotia,2006,100.77,94.4,39.9
7 Nova Scotia,2007,102.06,101.5,39.9
7 Nova Scotia,2008,104.08,92.2,39.9
7 Nova Scotia,2009,104.45,89.7,39.9
7 Nova Scotia,2010,107.28,88.4,39.9
7 Nova Scotia,2011,107.99,91.2,39.9
7 Nova Scotia,2012,106.95,84,39.9
7 Nova Scotia,2013,106.59,79.8,39.9
7 Nova Scotia,2014,107.62,71.8,39.9
7 Nova Scotia,2015,108.35,72.4,39.9
7 Nova Scotia,2016,110.06,67.6,39.9
7 Nova Scotia,2017,111.79,70.3,39.9
7 Nova Scotia,2018,113.5,73.6,39.9
8 PEI,2005,100,100,42.7
8 PEI,2006,102.71,96.7,42.7
8 PEI,2007,102.07,99,42.7
8 PEI,2008,103.16,95.2,42.7
8 PEI,2009,103.57,94.5,42.7
8 PEI,2010,105.66,96.1,42.7
8 PEI,2011,107.91,103.6,42.7
8 PEI,2012,109.06,99.4,42.7
8 PEI,2013,110.97,84.2,42.7
8 PEI,2014,111.09,81.6,42.7
8 PEI,2015,112.65,78.2,42.7
8 PEI,2016,115.07,81.5,42.7
8 PEI,2017,120.15,81.8,42.7
8 PEI,2018,123.3,80.6,42.7
9 Newfoundland & Labrador,2005,100,100,2
9 Newfoundland & Labrador,2006,103.99,96.7,2
9 Newfoundland & Labrador,2007,115.71,105.9,2
9 Newfoundland & Labrador,2008,113.97,101.7,2
9 Newfoundland & Labrador,2009,102.54,96.4,2
9 Newfoundland & Labrador,2010,108.12,95.8,2
9 Newfoundland & Labrador,2011,111.08,98.3,2
9 Newfoundland & Labrador,2012,106.22,94.4,2
9 Newfoundland & Labrador,2013,111.8,95.3,2
9 Newfoundland & Labrador,2014,110.49,104.1,2
9 Newfoundland & Labrador,2015,109.2,104.6,2
9 Newfoundland & Labrador,2016,110.85,106.6,2
9 Newfoundland & Labrador,2017,111.3,105.6,2
9 Newfoundland & Labrador,2018,107.4,105.3,2
