ERUID,ERNAME,NAICS,Concentration
1040,Notre Dame-Central Bonavista Bay,236,2.5%
3580,Stratford-Bruce Peninsula,311,2.5%
2445,Laval,236,2.5%
4870,Athabasca-Grande Prairie-Peace River,113,2.5%
5950,Cariboo,322,2.5%
2433,Centre-du-Québec,311,2.5%
3540,Kitchener-Waterloo-Barrie,333,2.5%
6110,Northwest Territories / Territoires du Nord-Ouest,221,2.5%
4710,Regina-Moose Mountain,213,2.4%
2480,Côte-Nord,236,2.4%
6110,Northwest Territories / Territoires du Nord-Ouest,236,2.4%
1210,Cape Breton,311,2.4%
1340,Fredericton-Oromocto,522,2.4%
4830,Calgary,236,2.4%
1220,North Shore / Côte-nord,311,2.4%
2433,Centre-du-Québec,332,2.4%
2415,Bas-Saint-Laurent,311,2.4%
3540,Kitchener-Waterloo-Barrie,332,2.4%
4660,Interlake,237,2.4%
5940,Kootenay,236,2.4%
5930,Thompson-Okanagan,236,2.3%
2420,Capitale-Nationale,524,2.3%
4720,Swift Current-Moose Jaw,484,2.3%
2425,Chaudière-Appalaches,112,2.3%
5970,Nechako,213,2.3%
3580,Stratford-Bruce Peninsula,336,2.3%
4840,Banff-Jasper-Rocky Mountain House,213,2.3%
3590,Northeast / Nord-est,236,2.3%
2455,Laurentides,336,2.3%
3590,Northeast / Nord-est,213,2.3%
4620,South Central / Centre sud,236,2.3%
2430,Estrie,333,2.3%
2475,Saguenay-Lac-Saint-Jean,113,2.3%
4830,Calgary,237,2.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,236,2.3%
1330,Saint John-St. Stephen,236,2.3%
3595,Northwest / Nord-ouest,113,2.3%
4810,Lethbridge-Medicine Hat,213,2.2%
2410,Gaspésie-Îles-de-la-Madeleine,238,2.2%
4670,Parklands,238,2.2%
2430,Estrie,236,2.2%
2450,Lanaudière,484,2.2%
4850,Red Deer,236,2.2%
4680,North / Nord,237,2.2%
6010,Yukon,213,2.2%
2435,Montérégie,484,2.2%
4830,Calgary,213,2.2%
1350,Edmundston-Woodstock,113,2.2%
4850,Red Deer,484,2.2%
4670,Parklands,522,2.2%
4810,Lethbridge-Medicine Hat,112,2.2%
4620,South Central / Centre sud,337,2.2%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,238,2.2%
1320,Moncton-Richibucto,524,2.2%
2440,Montréal,238,2.1%
3560,London,111,2.1%
2435,Montérégie,236,2.1%
2475,Saguenay-Lac-Saint-Jean,321,2.1%
3560,London,484,2.1%
4640,North Central / Centre nord,236,2.1%
5960,North Coast / Côte-nord,488,2.1%
4710,Regina-Moose Mountain,522,2.1%
3530,Toronto,522,2.1%
2450,Lanaudière,311,2.1%
4750,Prince Albert,484,2.1%
2470,Mauricie,321,2.1%
2433,Centre-du-Québec,322,2.1%
3580,Stratford-Bruce Peninsula,236,2.1%
2415,Bas-Saint-Laurent,112,2.1%
1230,Annapolis Valley,236,2.1%
4710,Regina-Moose Mountain,484,2.1%
4870,Athabasca-Grande Prairie-Peace River,211,2.1%
4750,Prince Albert,522,2.1%
5980,Northeast / Nord-est,321,2.1%
4610,Southeast / Sud-est,321,2.1%
4840,Banff-Jasper-Rocky Mountain House,484,2.0%
2420,Capitale-Nationale,236,2.0%
2465,Abitibi-Témiscamingue,236,2.0%
2435,Montérégie,111,2.0%
2425,Chaudière-Appalaches,524,2.0%
2470,Mauricie,337,2.0%
1210,Cape Breton,221,2.0%
1350,Edmundston-Woodstock,237,2.0%
2425,Chaudière-Appalaches,336,2.0%
3560,London,311,2.0%
3540,Kitchener-Waterloo-Barrie,484,2.0%
2430,Estrie,321,2.0%
4810,Lethbridge-Medicine Hat,237,2.0%
1310,Campbellton-Miramichi,321,2.0%
5960,North Coast / Côte-nord,237,2.0%
2450,Lanaudière,332,2.0%
1250,Halifax,522,2.0%
1220,North Shore / Côte-nord,111,2.0%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,522,2.0%
4650,Winnipeg,236,2.0%
4650,Winnipeg,523,2.0%
4660,Interlake,112,1.9%
2490,Nord-du-Québec,238,1.9%
3595,Northwest / Nord-ouest,236,1.9%
4870,Athabasca-Grande Prairie-Peace River,322,1.9%
3580,Stratford-Bruce Peninsula,332,1.9%
2433,Centre-du-Québec,236,1.9%
1110,Prince Edward Island / Île-du-Prince-Édouard,236,1.9%
2435,Montérégie,332,1.9%
3590,Northeast / Nord-est,212,1.9%
5960,North Coast / Côte-nord,236,1.9%
3560,London,236,1.9%
2433,Centre-du-Québec,321,1.9%
2433,Centre-du-Québec,336,1.9%
4860,Edmonton,213,1.9%
4810,Lethbridge-Medicine Hat,236,1.9%
3510,Ottawa,236,1.9%
4620,South Central / Centre sud,332,1.9%
4660,Interlake,236,1.9%
3540,Kitchener-Waterloo-Barrie,236,1.9%
3515,Kingston-Pembroke,236,1.9%
3550,Hamilton-Niagara Peninsula,311,1.9%
1230,Annapolis Valley,326,1.9%
2450,Lanaudière,326,1.9%
2433,Centre-du-Québec,111,1.9%
2470,Mauricie,236,1.9%
3560,London,332,1.9%
4860,Edmonton,332,1.8%
2480,Côte-Nord,311,1.8%
1320,Moncton-Richibucto,236,1.8%
4830,Calgary,523,1.8%
3580,Stratford-Bruce Peninsula,111,1.8%
4720,Swift Current-Moose Jaw,522,1.8%
3550,Hamilton-Niagara Peninsula,236,1.8%
4660,Interlake,522,1.8%
4630,Southwest / Sud-ouest,236,1.8%
2415,Bas-Saint-Laurent,236,1.8%
3570,Windsor-Sarnia,326,1.8%
5970,Nechako,236,1.8%
4610,Southeast / Sud-est,311,1.8%
3595,Northwest / Nord-ouest,237,1.8%
4820,Camrose-Drumheller,332,1.8%
4620,South Central / Centre sud,323,1.8%
5960,North Coast / Côte-nord,113,1.8%
3550,Hamilton-Niagara Peninsula,332,1.8%
3570,Windsor-Sarnia,332,1.8%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,114,1.8%
4750,Prince Albert,112,1.8%
1330,Saint John-St. Stephen,332,1.8%
6210,Nunavut,212,1.8%
4670,Parklands,237,1.8%
2440,Montréal,522,1.8%
2455,Laurentides,111,1.7%
4660,Interlake,111,1.7%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,336,1.7%
1020,South Coast-Burin Peninsula / Côte-sud-Burin Peninsula,236,1.7%
3590,Northeast / Nord-est,484,1.7%
2455,Laurentides,311,1.7%
1240,Southern / Sud,326,1.7%
4760,Northern / Nord,236,1.7%
5980,Northeast / Nord-est,211,1.7%
2425,Chaudière-Appalaches,522,1.7%
4860,Edmonton,484,1.7%
1250,Halifax,236,1.7%
2480,Côte-Nord,522,1.7%
2430,Estrie,332,1.7%
4870,Athabasca-Grande Prairie-Peace River,111,1.7%
4740,Yorkton-Melville,236,1.7%
1340,Fredericton-Oromocto,221,1.7%
1340,Fredericton-Oromocto,236,1.7%
2470,Mauricie,332,1.7%
4750,Prince Albert,213,1.7%
6010,Yukon,237,1.7%
4840,Banff-Jasper-Rocky Mountain House,321,1.7%
4730,Saskatoon-Biggar,522,1.7%
6010,Yukon,212,1.7%
1330,Saint John-St. Stephen,522,1.7%
3570,Windsor-Sarnia,484,1.7%
1240,Southern / Sud,112,1.7%
2450,Lanaudière,111,1.7%
6210,Nunavut,488,1.7%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,113,1.7%
1110,Prince Edward Island / Île-du-Prince-Édouard,112,1.7%
4650,Winnipeg,524,1.7%
2415,Bas-Saint-Laurent,522,1.7%
4640,North Central / Centre nord,112,1.7%
2465,Abitibi-Témiscamingue,322,1.7%
2440,Montréal,523,1.7%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,523,1.6%
4740,Yorkton-Melville,311,1.6%
1240,Southern / Sud,236,1.6%
3580,Stratford-Bruce Peninsula,326,1.6%
4710,Regina-Moose Mountain,236,1.6%
3540,Kitchener-Waterloo-Barrie,311,1.6%
4710,Regina-Moose Mountain,524,1.6%
1330,Saint John-St. Stephen,322,1.6%
4720,Swift Current-Moose Jaw,236,1.6%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,311,1.6%
2470,Mauricie,522,1.6%
5980,Northeast / Nord-est,236,1.6%
1250,Halifax,523,1.6%
1330,Saint John-St. Stephen,484,1.6%
2475,Saguenay-Lac-Saint-Jean,115,1.6%
2475,Saguenay-Lac-Saint-Jean,333,1.6%
4640,North Central / Centre nord,237,1.6%
1010,Avalon Peninsula,213,1.6%
4750,Prince Albert,333,1.6%
1010,Avalon Peninsula,237,1.6%
4630,Southwest / Sud-ouest,522,1.6%
4870,Athabasca-Grande Prairie-Peace River,236,1.6%
3595,Northwest / Nord-ouest,322,1.6%
4720,Swift Current-Moose Jaw,333,1.6%
3515,Kingston-Pembroke,484,1.6%
4880,Wood Buffalo-Cold Lake,236,1.6%
3530,Toronto,236,1.6%
1250,Halifax,524,1.6%
2433,Centre-du-Québec,337,1.6%
4750,Prince Albert,237,1.6%
4740,Yorkton-Melville,112,1.5%
4750,Prince Albert,236,1.5%
4720,Swift Current-Moose Jaw,112,1.5%
2410,Gaspésie-Îles-de-la-Madeleine,321,1.5%
1350,Edmundston-Woodstock,236,1.5%
2410,Gaspésie-Îles-de-la-Madeleine,522,1.5%
4880,Wood Buffalo-Cold Lake,485,1.5%
4650,Winnipeg,336,1.5%
4610,Southeast / Sud-est,237,1.5%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,221,1.5%
2490,Nord-du-Québec,115,1.5%
4650,Winnipeg,522,1.5%
1330,Saint John-St. Stephen,488,1.5%
4610,Southeast / Sud-est,111,1.5%
2480,Côte-Nord,321,1.5%
2465,Abitibi-Témiscamingue,113,1.5%
3590,Northeast / Nord-est,321,1.5%
5940,Kootenay,113,1.5%
1330,Saint John-St. Stephen,221,1.5%
1220,North Shore / Côte-nord,236,1.5%
1010,Avalon Peninsula,488,1.5%
3590,Northeast / Nord-est,237,1.5%
4760,Northern / Nord,238,1.5%
2425,Chaudière-Appalaches,333,1.5%
4730,Saskatoon-Biggar,111,1.5%
1330,Saint John-St. Stephen,483,1.5%
4670,Parklands,484,1.5%
5980,Northeast / Nord-est,522,1.5%
4720,Swift Current-Moose Jaw,213,1.5%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,481,1.5%
4820,Camrose-Drumheller,236,1.5%
1250,Halifax,237,1.5%
2455,Laurentides,484,1.5%
1310,Campbellton-Miramichi,237,1.5%
3515,Kingston-Pembroke,336,1.5%
5930,Thompson-Okanagan,237,1.5%
3580,Stratford-Bruce Peninsula,484,1.5%
3560,London,333,1.5%
2480,Côte-Nord,114,1.5%
4650,Winnipeg,484,1.5%
1220,North Shore / Côte-nord,523,1.5%
2425,Chaudière-Appalaches,237,1.5%
5960,North Coast / Côte-nord,484,1.4%
2410,Gaspésie-Îles-de-la-Madeleine,484,1.4%
4670,Parklands,321,1.4%
2440,Montréal,311,1.4%
2415,Bas-Saint-Laurent,113,1.4%
3570,Windsor-Sarnia,236,1.4%
2430,Estrie,484,1.4%
2475,Saguenay-Lac-Saint-Jean,237,1.4%
4630,Southwest / Sud-ouest,332,1.4%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,523,1.4%
2470,Mauricie,484,1.4%
1310,Campbellton-Miramichi,484,1.4%
3550,Hamilton-Niagara Peninsula,523,1.4%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,488,1.4%
1240,Southern / Sud,321,1.4%
4840,Banff-Jasper-Rocky Mountain House,113,1.4%
2470,Mauricie,311,1.4%
1040,Notre Dame-Central Bonavista Bay,237,1.4%
4830,Calgary,484,1.4%
2415,Bas-Saint-Laurent,111,1.4%
4640,North Central / Centre nord,522,1.4%
3570,Windsor-Sarnia,325,1.4%
2435,Montérégie,522,1.4%
1220,North Shore / Côte-nord,484,1.4%
1340,Fredericton-Oromocto,321,1.4%
2445,Laval,237,1.4%
1330,Saint John-St. Stephen,523,1.4%
4740,Yorkton-Melville,484,1.4%
3570,Windsor-Sarnia,237,1.4%
1310,Campbellton-Miramichi,113,1.4%
4660,Interlake,331,1.4%
3530,Toronto,524,1.4%
1230,Annapolis Valley,484,1.4%
4630,Southwest / Sud-ouest,484,1.4%
1350,Edmundston-Woodstock,115,1.4%
3520,Muskoka-Kawarthas,326,1.4%
4620,South Central / Centre sud,112,1.3%
1340,Fredericton-Oromocto,526,1.3%
5930,Thompson-Okanagan,484,1.3%
2460,Outaouais,522,1.3%
2430,Estrie,322,1.3%
3515,Kingston-Pembroke,237,1.3%
4650,Winnipeg,311,1.3%
6210,Nunavut,221,1.3%
3530,Toronto,311,1.3%
3550,Hamilton-Niagara Peninsula,333,1.3%
1110,Prince Edward Island / Île-du-Prince-Édouard,237,1.3%
2410,Gaspésie-Îles-de-la-Madeleine,237,1.3%
5960,North Coast / Côte-nord,213,1.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,484,1.3%
6010,Yukon,522,1.3%
2430,Estrie,522,1.3%
1330,Saint John-St. Stephen,524,1.3%
3540,Kitchener-Waterloo-Barrie,326,1.3%
3530,Toronto,484,1.3%
4850,Red Deer,311,1.3%
4730,Saskatoon-Biggar,484,1.3%
4640,North Central / Centre nord,333,1.3%
2475,Saguenay-Lac-Saint-Jean,331,1.3%
1350,Edmundston-Woodstock,339,1.3%
2420,Capitale-Nationale,488,1.3%
1310,Campbellton-Miramichi,488,1.3%
3590,Northeast / Nord-est,485,1.3%
3510,Ottawa,522,1.3%
3550,Hamilton-Niagara Peninsula,484,1.3%
2460,Outaouais,321,1.3%
4610,Southeast / Sud-est,522,1.3%
3515,Kingston-Pembroke,485,1.3%
2445,Laval,332,1.3%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,237,1.3%
4680,North / Nord,238,1.3%
5940,Kootenay,237,1.3%
3580,Stratford-Bruce Peninsula,333,1.3%
3540,Kitchener-Waterloo-Barrie,524,1.3%
4850,Red Deer,333,1.3%
2445,Laval,311,1.3%
3580,Stratford-Bruce Peninsula,237,1.3%
6110,Northwest Territories / Territoires du Nord-Ouest,488,1.3%
2420,Capitale-Nationale,522,1.2%
5920,Lower Mainland-Southwest / Lower Mainland-Sud-ouest,522,1.2%
3560,London,524,1.2%
4610,Southeast / Sud-est,332,1.2%
4850,Red Deer,523,1.2%
4630,Southwest / Sud-ouest,325,1.2%
2445,Laval,325,1.2%
3550,Hamilton-Niagara Peninsula,336,1.2%
4610,Southeast / Sud-est,212,1.2%
4740,Yorkton-Melville,237,1.2%
4860,Edmonton,333,1.2%
2435,Montérégie,326,1.2%
1210,Cape Breton,237,1.2%
2480,Côte-Nord,484,1.2%
2475,Saguenay-Lac-Saint-Jean,311,1.2%
2490,Nord-du-Québec,481,1.2%
2435,Montérégie,336,1.2%
3595,Northwest / Nord-ouest,484,1.2%
1330,Saint John-St. Stephen,112,1.2%
2430,Estrie,111,1.2%
4620,South Central / Centre sud,321,1.2%
5940,Kootenay,484,1.2%
1030,West Coast-Northern Peninsula-Labrador / Côte-ouest-Northern Peninsula-Labrador,488,1.2%
6110,Northwest Territories / Territoires du Nord-Ouest,484,1.2%
1310,Campbellton-Miramichi,522,1.2%
5930,Thompson-Okanagan,522,1.2%
1330,Saint John-St. Stephen,237,1.2%
4710,Regina-Moose Mountain,237,1.2%
2433,Centre-du-Québec,326,1.2%
5960,North Coast / Côte-nord,522,1.2%
2440,Montréal,524,1.2%
2415,Bas-Saint-Laurent,327,1.2%
3530,Toronto,332,1.2%
1350,Edmundston-Woodstock,322,1.2%
4730,Saskatoon-Biggar,237,1.2%
3540,Kitchener-Waterloo-Barrie,237,1.2%
3520,Muskoka-Kawarthas,311,1.2%
4620,South Central / Centre sud,115,1.2%
3520,Muskoka-Kawarthas,485,1.2%
2490,Nord-du-Québec,113,1.2%
1310,Campbellton-Miramichi,212,1.2%
1250,Halifax,488,1.2%
2465,Abitibi-Témiscamingue,522,1.2%
1230,Annapolis Valley,237,1.2%
4630,Southwest / Sud-ouest,112,1.2%
4740,Yorkton-Melville,333,1.2%
5980,Northeast / Nord-est,113,1.2%
2470,Mauricie,237,1.2%
2445,Laval,336,1.2%
4760,Northern / Nord,114,1.2%
2433,Centre-du-Québec,325,1.2%
2445,Laval,485,1.2%
2460,Outaouais,485,1.2%
2450,Lanaudière,333,1.2%
1320,Moncton-Richibucto,321,1.2%
2490,Nord-du-Québec,522,1.2%
4680,North / Nord,482,1.2%
5940,Kootenay,115,1.2%
4620,South Central / Centre sud,522,1.1%
2455,Laurentides,325,1.1%
4670,Parklands,236,1.1%
5940,Kootenay,111,1.1%
3515,Kingston-Pembroke,311,1.1%
2470,Mauricie,322,1.1%
1230,Annapolis Valley,321,1.1%
4870,Athabasca-Grande Prairie-Peace River,112,1.1%
2475,Saguenay-Lac-Saint-Jean,522,1.1%
3530,Toronto,336,1.1%
2430,Estrie,112,1.1%
5940,Kootenay,522,1.1%
4730,Saskatoon-Biggar,523,1.1%
2475,Saguenay-Lac-Saint-Jean,332,1.1%
5930,Thompson-Okanagan,488,1.1%
4650,Winnipeg,333,1.1%
1110,Prince Edward Island / Île-du-Prince-Édouard,484,1.1%
2445,Laval,522,1.1%
4730,Saskatoon-Biggar,311,1.1%
2433,Centre-du-Québec,522,1.1%
4830,Calgary,522,1.1%
2433,Centre-du-Québec,331,1.1%
4610,Southeast / Sud-est,325,1.1%
2410,Gaspésie-Îles-de-la-Madeleine,113,1.1%
2450,Lanaudière,337,1.1%
5910,Vancouver Island and Coast / Île de Vancouver et la côte,522,1.1%
2445,Laval,493,1.1%
3515,Kingston-Pembroke,524,1.1%
2440,Montréal,488,1.1%
1220,North Shore / Côte-nord,332,1.1%
4810,Lethbridge-Medicine Hat,332,1.1%
2480,Côte-Nord,113,1.1%
